1111.5202_303438_6	Some of these phenomena can be equally explained by either a wave or non-wave model alone.
2503.17040_2281352_5	We advocate for instructors to encourage AI-assisted CPS to foster critical thinking and enhance student engagement with real-world scenarios.
2503.17662_2281974_4	Specifically, we first design a role chain method to encourage the model to self-question based on the role characteristics and dialogue context to adjust personality consistency.
2503.17994_2282306_6	Instead of directly generate architectures with LLM, We inspire the LLM's capability with a multi-level enhancement mechanism.
2503.17994_2282306_7	Specifically, on the step-level, we decompose the generation task into decision steps with powerful prompt engineering and inspire LLM to serve as instructor for architecture search based on its internal knowledge.
2503.18238_2282550_3	Analysis of fine-grained communication, collaboration, and workflow logs revealed that collaborating with AI agents increased communication by 137% and allowed humans to focus 23% more on text and image content generation messaging and 20% less on direct text editing.
2503.18809_2283121_4	For a given planning domain, we ask an LLM to generate several domain-dependent heuristic functions in the form of Python code, evaluate them on a set of training tasks within a greedy best-first search, and choose the strongest one.
2503.19092_2283404_2	This paper synthesizes existing research and presents novel experiment designs that explore how LLM-based rankers and assistants influence LLM-based judges.
2503.20797_2285109_5	Finally, we show how providing the source for political and non-political content influences the LLM's classification.
2503.21115_2285427_6	In addition, we design prompts that instruct LLMs to leverage these tools for assessing the feasibility of hub selection by evaluating various risk types and levels.
2503.21419_2285731_4	In this light, we explore how neurogenesis, neuroapoptosis, and neuroplasticity can inspire future AI advances.
2503.22736_2287048_4	With this in mind, we propose a model distillation pipeline in which a large generative model, a Teacher, teaches a much smaller model, a Student.
2503.22853_2287165_7	This research contributes to the broader understanding of teaching LLMs and has applications for educators, students, and developers of AI music tools alike.
2503.23084_2287396_3	These features not only distinguish reasoning tasks from memory-intensive ones but can also be manipulated to causally influence model performance on reasoning tasks.
2503.23688_2288000_7	Furthermore, the research highlights specific prompt structures and linguistic variations that can strategically trigger distinct responses from models, revealing methods for effectively navigating and influencing LLM outputs.
2504.01404_2290107_11	In rank-based identification, we ask the LLM to select buggy statements from the bug-fixing commit and rank them based on their relevance to the root cause.
2504.02406_2291109_3	Trustworthy AI is vital, especially for critical infrastructures like 6G. This paper introduces the REASON approach for holistically addressing AI's native integration and trustworthiness in future 6G networks.
2504.03708_2292411_2	Telecommunications operators, historically adept at solving content latency challenges through partnerships with providers like Google and Facebook, now have a unique opportunity to address similar AI latency concerns.
2504.04262_2292965_5	The proposed CatBoost model has used a nature inspired algorithm such as Simulated Annealing to select the most important features, Cuckoo Search to adjust outliers and grid search to fine tune its settings in such a way to achieve improved prediction accuracy.
2504.04372_2293075_10	We inject faults in real-world programs and ask the LLM to localize them, ensuring the specifications suffice for fault localization.
2504.04994_2293697_5	Finally, by deactivating these neurons, we analyze shifts in model behavior, uncovering the internal mechanism by which values influence LLM decision-making.
2504.05804_2294507_2	Unlike existing methods that often introduce detectable anomalies, StealthRank employs an energy-based optimization framework combined with Langevin dynamics to generate StealthRank Prompts (SRPs)-adversarial text sequences embedded within product descriptions that subtly yet effectively influence LLM ranking mechanisms.
2504.05857_2294560_5	Our results address human-AI interaction challenges not covered in previous WoZ research, including recording and resubmitting signs, unpredictable outputs, system latency, and privacy concerns.
2504.06017_2294720_4	Based on our results, we argue against LLM-vendor claims about limited security capabilities.
2504.06435_2295138_11	These findings suggest directions for GenAI design to safely and productively address the AI "trust gap."
2504.07135_2295838_4	In this paper, we propose Similarizing the predictive Influence of Nodes with Contrastive Learning (SINCon), a defense mechanism that encourages the model to learn graph representations where nodes with varying importance have a more uniform influence on predictions.
2504.09309_2298012_3	We reframe the multi-label classification task as a structured generation problem, instructing the LLM to directly output the relevant legal categories for a given document.
2504.09647_2298350_2	This paper systematically identifies and categorizes critical attributes influencing AI service orchestration in 6G networks and introduces an open-source, LLM-assisted toolchain that automates service packaging, deployment, and runtime profiling.
2504.11536_2300239_1	To bridge this gap, we propose ReTool, which enhances long-form reasoning with tool-integrated learning, including two key features: (1) dynamic interleaving of real-time code execution within natural language reasoning processes, and (2) an automated RL paradigm that allows policy rollouts with multi-turn real-time code execution and teaches the model in learning when and how to invoke tools based on outcome feedback.
2504.12523_2301226_5	Our strategy encourages LLMs to surface and reason over newly memorized knowledge at inference.
2504.12654_2301357_0	  This perspective paper examines a fundamental paradox in the relationship between professional expertise and artificial intelligence: as domain experts increasingly collaborate with AI systems by externalizing their implicit knowledge, they potentially accelerate the automation of their own expertise.
2504.13052_2301755_3	We demonstrate a particularly effective exploitation vector by instructing LLMs to generate code that realizes the intent described in these semantic graphs, achieving success rates of up to 87% against leading commercial LLMs.
2504.13500_2302203_5	Experimental results from competition-level complex reasoning demonstrate that our method can teach the model to prejudge before thinking and significantly enhance the reasoning ability of LLMs.
2504.13534_2302237_1	To address these issues, we propose CoT-RAG, a novel reasoning framework with three key designs: (i) Knowledge Graph-driven CoT Generation, featuring knowledge graphs to modulate reasoning chain generation of LLMs, thereby enhancing reasoning credibility; (ii) Learnable Knowledge Case-aware RAG, which incorporates retrieval-augmented generation (RAG) into knowledge graphs to retrieve relevant sub-cases and sub-descriptions, providing LLMs with learnable information; (iii) Pseudo-Program Prompting Execution, which encourages LLMs to execute reasoning tasks in pseudo-programs with greater logical rigor.
2504.13700_2302403_2	However, instructing LLMs using natural language is limited in precision and expressiveness for conveying visualization intent, leading to misinterpretation and time-consuming iterations.
2504.13969_2302672_4	This work highlights the potential of combining physical and digital elements in AI literacy, offering a safe and engaging way for children to learn how to effectively collaborate with AI.
2504.14112_2302815_7	Lastly, the AU group expressed higher comfort in seeking personal help, managing stress, obtaining social support, and talking about health with AI, indicating potential for broader emotional support while highlighting the need for safeguards against problematic usage.
2504.14150_2302853_5	Since LLM explanations mimic human explanations, they often reference high-level concepts in the input question that purportedly influenced the model.
2504.14150_2302853_10	On a medical question answering task, we uncover cases where LLM explanations provide misleading claims about which pieces of evidence influenced the model's decisions.
2504.14367_2303070_3	By systematically mapping the phenotypic space, we reveal how structural variations influence LLM performance, offering actionable insights for task-specific and adaptable prompt design.
2504.15415_2304118_4	Further analysis reveals key factors influencing model performance on IV-Bench, including inference pattern, frame number, and resolution.
2504.16047_2304750_6	The findings highlight that pre-training methodology significantly influences model performance on specific downstream tasks.
2504.17426_2306129_3	Our method consists in applying topic modeling on the descriptions obtained by asking an LLM to summarize the code.
2504.19005_2307708_5	Using the data, the researcher went through prompt engineering to instruct gpt-4.1-mini to automatically analyze the remaining 1,000 images.
2504.19076_2307779_3	This paper examines scenarios where LLM-evaluators may falsely indicate success, particularly when LLM-based judgments influence both system development and evaluation.
2504.19445_2308148_2	In this study, we examine how different response format: binary versus continuous, may systematically influence LLMs' judgments.
2504.20951_2309654_3	This model offers a mechanism to explain several observed phenomena in LLM behavior, including hallucinations (emerging from low-density semantic voids), sensitivity to query formulation (due to semantic field curvature changes), and the influence of sampling temperature on output diversity.
2504.21589_2310292_1	Our system relies on prompting a selection of LLMs with varying examples of intellectually annotated records and asking the LLMs to similarly suggest keywords for new records.
2504.21770_2310473_6	In-context learning and asking the model to 'think again' improves LASHED's precision.
2505.00626_2311186_2	Although recent work often targets state-of-the-art prompt injection defenses, it remains unclear whether such methods truly teach LLMs to differentiate roles or merely memorize known triggers.
2505.00626_2311186_3	In this paper, we examine \emph{role-separation learning}: the process of teaching LLMs to robustly distinguish system and user tokens.
2505.02062_2312622_0	  The adoption of Artificial Intelligence (AI) in the healthcare service industry presents numerous ethical challenges, yet current frameworks often fail to offer a comprehensive, empirical understanding of the multidimensional factors influencing ethical AI integration.
2505.02252_2312812_6	Our findings reveal that context personalisation significantly influences LLMs' responses in this sensitive area.
2505.02313_2312873_3	Despite its simplicity and appeal, we argue that The Safety Conception is in tension with at least two trends in the ways AI safety researchers and organizations think and talk about AI safety: first, a tendency to characterize the goal of AI safety research in terms of catastrophic risks from future systems; second, the increasingly popular idea that AI safety can be thought of as a branch of safety engineering.
2505.02865_2313425_3	Specifically, SpecSearch utilizes a small model to strategically collaborate with a large model at both thought and token levels, efficiently generating high-quality reasoning thoughts.
2505.03818_2314378_1	Finding training examples to teach LLMs to solve these tasks can be challenging.   
2505.05115_2315675_1	(2025), I show that within their suite of research-engineering tasks the performance of AI agents on longer-duration tasks can be explained by an extremely simple mathematical model -- a constant rate of failing during each minute a human would take to do the task.
2505.05441_2316001_2	To address this, we introduce GesPrompt, a multimodal XR interface that combines co-speech gestures with speech, allowing end-users to communicate more naturally and accurately with LLM-based copilots in XR environments.
astro-ph/0101048_2323998_2	The range of kHz frequencies and the observed quality factors (Qs) are also explained by this simple dynamical model.
astro-ph/0207575_2334530_5	The spectrum of the accretion disk emission is significantly softer and in the 3--20 keV range is reasonably well described by a relativistic disk model with a mass accretion rate consistent with the value inferred from the observed X-ray flux.
astro-ph/0301443_2338226_3	We find that both spectra are described by a two-component model consisting of emission from a cool accretion disk plus a Comptonized blackbody with kTbb ~ 1.5 keV in a low opacity plasma.
astro-ph/0301443_2338226_5	The spectrum of X1556-605 can also be described by a model consisting of a blackbody plus an unsaturated Comptonization with electron energy kTe ~ 4 keV.
astro-ph/0402179_2346505_0	  We describe kHz QPOs from the hydrodynamical model of accretion disks for LMXB systems.
astro-ph/0608191_2367880_3	The source spectrum is best explained by a power-law model with a photon index of 2.2 (1.9-2.7) and an absorption-corrected luminosity of 1.0 x 10^34 ergs s^-1 in the 0.5--10 keV band for a distance of 50 kpc.
astro-ph/9611086_2379692_4	It is found that the entire variety of young LMC globular clusters may be explained in a model where they form from a fairly uniform population of roughly spherical, relaxed proto-cluster clouds very similar to Giant Molecular Clouds in the Galaxy, with star formation efficiencies between 25% and 60%.
astro-ph/9802342_2384325_1	All the remnants were well described by the model, allowing us to derive accurate values for their ages, densities, initial explosion energies, and metal abundances.
hep-th/0508177_2587329_3	Their low energy world-volume theory, truncated to the 1/2 BPS sector, is shown to be described by a Chern-Simons finite-matrix model.
